State,Account.Length,Area.Code,Phone,Int.l.Plan,VMail.Plan,VMail.Message,Day.Mins,Day.Calls,Day.Charge,Night.Calls,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn
MT,113,415,419-5505,no,no,0,215.9,93,36.7,123,4.9,5,1.32,3,no
NV,76,510,377-4169,yes,no,0,241,120,40.97,67,9.9,1,2.67,1,yes
AL,118,510,391-8027,yes,no,0,223.4,98,37.98,118,6.3,6,1.7,0,no
VA,146,415,363-3571,no,no,0,205.4,101,34.92,83,10.3,2,2.78,3,no
DE,30,415,349-4703,no,yes,30,217.4,74,36.96,104,6.6,3,1.78,0,no
KS,130,510,332-9446,no,no,0,154,95,26.18,75,12.9,1,3.48,1,no
MO,85,415,367-8924,no,no,0,126.1,112,21.44,95,9.8,4,2.65,1,no
DC,123,408,387-3422,no,yes,28,124.7,105,21.2,128,7.8,8,2.11,1,no
CT,50,408,351-9037,no,no,0,301.7,82,51.29,89,10.5,6,2.84,1,no
LA,108,510,380-7624,no,yes,30,276.6,99,47.02,95,9.8,6,2.65,2,no
WI,94,510,355-6930,no,no,0,177.1,112,30.11,108,5.9,4,1.59,1,no
SD,144,408,339-3049,no,yes,48,189.8,96,32.27,106,6.5,2,1.76,2,yes
SC,38,415,375-5439,no,yes,31,197.2,118,33.52,104,3.9,2,1.05,0,no
NC,115,510,329-9667,yes,no,0,251.3,69,42.72,112,9.9,1,2.67,3,yes
KS,128,415,382-4657,no,yes,25,265.1,110,45.07,91,10,3,2.7,1,no
LA,43,415,330-2849,no,no,0,241.9,101,41.12,104,5.9,3,1.59,1,no
MT,103,510,342-1004,no,yes,35,110.5,101,18.79,77,13.9,2,3.75,4,yes
CO,71,415,332-9896,no,no,0,211.2,70,35.9,104,12.3,3,3.32,0,no
NV,42,415,352-5466,no,no,0,303.9,106,51.66,76,5.8,3,1.57,1,yes
ME,80,408,333-7631,no,no,0,322.3,113,54.79,123,6.7,8,1.81,0,yes
KY,88,415,405-8075,no,no,0,148.2,82,25.19,79,6.4,4,1.73,2,no
MN,81,510,375-2522,no,no,0,145.6,59,24.75,121,9.2,4,2.48,2,no
NY,156,408,337-6851,no,no,0,174.3,95,29.63,105,12.9,5,3.48,3,no
SC,159,415,394-9825,no,yes,23,153.6,93,26.11,91,12.6,3,3.4,2,no
RI,94,415,348-9945,no,no,0,139.4,95,23.7,129,7.7,3,2.08,0,no
IA,98,415,338-7886,no,no,0,216.8,86,36.86,79,11,9,2.97,0,no
TN,98,415,351-7016,no,no,0,162.8,65,27.68,104,6,3,1.62,2,no
MD,176,408,365-3493,no,no,0,201.9,101,34.32,79,9,2,2.43,1,no
GA,73,408,385-6952,no,no,0,157.6,92,26.79,106,9.1,4,2.46,1,no
MI,108,408,378-6276,no,yes,32,209.5,108,35.62,145,9.1,6,2.46,6,yes
VA,112,408,380-5667,no,yes,29,198.8,122,33.8,69,11.5,5,3.11,1,no
SC,79,415,348-3830,no,no,0,134.7,98,22.9,128,11.8,5,3.19,2,no
MO,147,415,329-9001,yes,no,0,157,79,26.69,96,7.1,6,1.92,0,no
NM,94,415,388-8891,no,no,0,108,79,18.36,92,10.4,3,2.81,3,no
MI,74,415,359-6232,no,no,0,314.1,86,53.4,121,12.3,5,3.32,3,yes
MN,100,415,399-2151,yes,no,0,159.9,94,27.18,102,11.6,2,3.13,2,yes
HI,118,415,418-6752,no,no,0,133.4,113,22.68,129,5.9,4,1.59,1,no
SC,100,510,348-8022,no,no,0,115.9,87,19.7,77,7.1,4,1.92,1,no
MS,111,415,404-9978,no,yes,36,96.8,123,16.46,85,13.4,4,3.62,2,no
OK,75,415,330-6626,yes,no,0,166.7,113,28.34,121,10.1,3,2.73,3,no
MI,105,415,345-2863,no,yes,29,179.4,113,30.5,105,10,5,2.7,0,no
KY,72,408,407-9290,no,no,0,177.1,97,30.11,94,8,6,2.16,1,no
NM,188,415,369-6890,yes,yes,26,198.8,115,33.8,118,14.4,3,3.89,1,yes
WA,161,415,378-8137,no,no,0,151.6,117,25.77,68,4,5,1.08,1,no
WA,121,408,392-2708,no,no,0,207.9,98,35.34,114,7.7,2,2.08,2,no
WV,52,510,373-8920,no,yes,21,195.7,119,33.27,94,5.3,3,1.43,2,no
WI,147,415,405-5403,yes,no,0,225.2,111,38.28,146,9.9,1,2.67,0,yes
UT,4,510,413-6346,yes,no,0,145.3,89,24.7,82,8.9,4,2.4,0,no
IN,86,415,365-5039,no,no,0,166.2,112,28.25,97,5.4,7,1.46,1,no
ND,145,415,378-1936,no,no,0,245.8,116,41.79,115,9,13,2.43,1,yes
NY,54,510,390-6932,yes,no,0,236.3,91,40.17,98,11.2,8,3.02,3,no
LA,106,408,374-2073,no,no,0,220.7,120,37.52,113,8.7,5,2.35,1,no
AR,153,408,339-3636,no,no,0,154.6,56,26.28,89,15.5,2,4.19,1,no
CT,37,408,347-7675,no,no,0,134.9,98,22.93,113,14.7,2,3.97,3,no
RI,17,415,396-9656,no,no,0,161.5,123,27.46,106,8.6,5,2.32,1,no
NY,104,415,391-1793,no,yes,26,189.1,112,32.15,104,11.1,4,3,1,no
KY,76,415,407-8575,no,no,0,204,69,34.68,85,9.6,5,2.59,1,no
MI,158,415,348-5569,no,no,0,195.9,103,33.3,82,10.3,3,2.78,1,no
DE,80,415,376-4861,no,no,0,199.8,138,33.97,94,5.5,4,1.49,1,no
TX,90,408,328-8179,no,yes,27,156.7,51,26.64,111,12.6,6,3.4,2,no
MS,77,408,356-4001,no,no,0,230,87,39.1,136,11.3,3,3.05,2,no
ID,82,510,405-7204,no,yes,34,232.6,121,39.54,77,4.7,3,1.27,3,no
VA,150,510,334-5634,no,no,0,169.2,123,28.76,107,12.6,3,3.4,1,no
WV,72,510,418-6651,no,yes,33,96.6,59,16.42,117,6.2,4,1.67,4,yes
DC,108,510,377-7177,no,no,0,138.6,122,23.56,92,9.8,3,2.65,1,no
WI,78,408,408-5916,no,no,0,87,102,14.79,120,11,5,2.97,0,no
MS,76,408,368-8972,no,no,0,173.2,93,29.44,104,5.4,3,1.46,0,no
WV,84,408,354-4752,no,no,0,86,83,14.62,109,8.9,4,2.4,1,no
NE,147,415,400-7280,no,yes,38,243.4,126,41.38,91,14.1,8,3.81,2,no
MN,152,415,416-2778,yes,yes,20,237.5,120,40.38,80,14.2,3,3.83,9,yes
VA,133,408,385-1464,no,yes,39,239.9,107,40.78,85,6.7,3,1.81,5,no
MD,86,408,329-2789,no,no,0,226.3,88,38.47,92,13,3,3.51,4,no
MI,139,415,421-3528,no,yes,20,214.6,101,36.48,132,14.8,12,4,0,no
MS,98,415,336-7155,yes,yes,23,245.5,54,41.74,90,10.8,7,2.92,1,no
UT,87,415,411-6663,no,no,0,146.3,108,24.87,66,5.3,9,1.43,1,no
MA,96,415,359-9369,no,no,0,173.9,111,29.56,91,9.1,7,2.46,1,no
MN,62,510,390-9811,no,yes,33,186.4,84,31.69,103,11.1,3,3,2,yes
WI,143,510,367-3439,no,no,0,194.3,99,33.03,99,10.2,2,2.75,2,no
IN,88,415,354-7201,no,no,0,183.5,93,31.2,88,8.3,5,2.24,3,no
MN,124,510,410-7383,no,no,0,157.5,70,26.78,98,9.6,4,2.59,3,no
AR,80,415,340-4953,no,no,0,124.3,100,21.13,62,7.9,9,2.13,1,no
KS,46,510,365-5979,no,no,0,250.3,100,42.55,104,13.3,2,3.59,2,yes
FL,166,510,367-1681,yes,no,0,47.7,89,8.11,97,13.2,3,3.56,0,yes
WV,177,408,376-9716,no,no,0,227.8,81,38.73,106,8,5,2.16,1,no
DC,60,408,355-3801,no,no,0,179.3,147,30.48,98,13.5,6,3.65,1,yes
MA,88,408,383-5109,no,yes,45,80.3,140,13.65,123,12.8,3,3.46,2,no
DC,126,415,392-5512,no,no,0,161.4,110,27.44,78,5.1,2,1.38,0,no
PA,141,510,365-8114,no,no,0,215.6,113,36.65,107,12.4,6,3.35,1,no
IN,108,510,329-1955,no,no,0,293,88,49.81,87,10,6,2.7,2,no
NJ,127,510,363-6695,no,no,0,239.8,107,40.77,110,11.3,5,3.05,1,no
OK,52,510,412-9357,no,yes,38,169.3,88,28.78,86,8.2,3,2.21,0,no
MD,45,415,350-1040,no,no,0,78.2,127,13.29,100,18,3,4.86,1,no
OK,101,408,345-1524,no,no,0,89.7,118,15.25,93,13.5,11,3.65,5,yes
IL,71,415,397-8051,no,no,0,207,112,35.19,61,12.1,3,3.27,1,no
WA,171,408,419-1863,no,no,0,270.5,69,45.99,111,9.6,5,2.59,1,yes
VA,87,415,347-3958,no,no,0,171.6,119,29.17,114,13.8,4,3.73,0,no
FL,130,415,384-1135,no,no,0,207.1,70,35.21,100,12.4,2,3.35,1,no
WA,55,408,357-6039,no,no,0,285.7,124,48.57,140,14.8,7,4,0,yes
NE,148,415,382-2879,no,no,0,178.3,98,30.31,98,11.4,4,3.08,1,no
MS,78,415,410-5236,no,yes,13,281.2,93,47.8,129,6.4,5,1.73,2,no
MS,101,408,387-5533,no,no,0,239,156,40.63,93,13.5,8,3.65,1,yes
VT,138,415,354-4352,no,no,0,230.1,107,39.12,119,13.2,4,3.56,1,no
KY,55,415,345-4551,no,yes,28,105.3,82,17.9,91,8.6,6,2.32,2,no
TN,39,408,364-8731,no,no,0,187.2,110,31.82,83,13.2,5,3.56,1,no
NH,119,415,359-3833,no,yes,19,178.1,110,30.28,123,10,6,2.7,1,no
ND,59,510,351-4226,no,no,0,179.4,80,30.5,105,14.7,3,3.97,0,no
OH,83,510,342-9480,no,no,0,227.9,78,38.74,100,12.1,5,3.27,1,no
MD,139,415,335-3133,no,no,0,181.6,119,30.87,64,8.3,6,2.24,4,no
VA,118,408,404-2877,no,no,0,154.8,71,26.32,81,12.8,4,3.46,0,no
TN,148,415,419-5501,no,yes,36,77.6,141,13.19,115,10.9,2,2.94,1,no
NE,103,408,347-2378,no,no,0,160.8,91,27.34,103,8.5,3,2.3,1,no
NV,115,415,356-3646,no,no,0,184.1,98,31.3,106,7.5,6,2.03,2,no
MD,61,415,370-2688,no,no,0,260,123,44.2,70,9,3,2.43,1,yes
KY,90,415,334-8817,no,no,0,193.7,83,32.93,60,12.7,3,3.43,1,no
WY,146,415,356-1270,no,yes,11,180.7,82,30.72,89,10.1,4,2.73,2,no
OH,73,415,338-4065,no,no,0,183.4,80,31.18,100,7.5,3,2.03,4,no
WI,92,415,421-9401,yes,no,0,264.3,91,44.93,73,9.3,5,2.51,0,no
MO,123,415,402-6591,no,no,0,206.9,85,35.17,136,7.7,2,2.08,3,no
GA,185,510,366-5699,no,yes,31,189.8,126,32.27,126,7.5,3,2.03,1,no
NY,98,408,403-4917,no,no,0,171.7,99,29.19,130,7.8,6,2.11,1,no
AR,79,408,406-2752,no,no,0,152.2,112,25.87,87,5.3,3,1.43,1,no
AL,137,415,350-4367,no,no,0,104.7,115,17.8,99,8.9,2,2.4,1,no
OR,69,408,375-9180,no,no,0,196.1,87,33.34,75,11.9,1,3.21,0,no
NJ,134,510,373-3959,no,yes,34,247.2,105,42.02,76,6.1,5,1.65,2,yes
NH,149,415,368-7706,no,no,0,119.2,88,20.26,119,12.2,6,3.29,4,yes
NJ,136,408,402-7650,no,yes,27,187.7,84,31.91,110,10,4,2.7,3,no
AZ,113,510,341-5892,no,no,0,81.3,116,13.82,113,8.9,3,2.4,0,no
MD,18,408,347-7898,no,no,0,273.6,93,46.51,120,8.2,4,2.21,1,no
VT,72,415,418-3017,no,yes,21,138.1,113,23.48,118,8.2,2,2.21,2,no
NE,78,510,422-8333,no,yes,32,210.3,116,35.75,92,10.8,4,2.92,6,no
MA,51,415,389-3206,no,no,0,183.1,99,31.13,121,7,3,1.89,1,no
AL,90,415,335-9786,no,no,0,214.9,97,36.53,78,11.8,2,3.19,2,no
FL,58,510,363-1560,no,no,0,234.8,89,39.92,122,9.9,6,2.67,0,no
PA,79,415,365-2008,no,no,0,268.3,114,45.61,88,6.3,7,1.7,1,yes
SD,93,510,408-4836,no,no,0,328.1,106,55.78,114,8.7,3,2.35,1,yes
OK,79,510,381-4565,no,no,0,147,72,24.99,107,8.4,9,2.27,1,no
CO,107,415,418-4365,no,no,0,133.8,85,22.75,115,8.9,4,2.4,0,no
MS,73,415,412-2520,no,yes,31,82.3,105,13.99,98,11.8,2,3.19,6,yes
WV,100,415,381-3735,no,no,0,166,102,28.22,93,10.9,4,2.94,1,no
OH,72,510,411-4781,no,no,0,138.9,111,23.61,91,10.8,3,2.92,1,no
WV,30,510,411-8043,no,no,0,162.3,96,27.59,89,9.1,4,2.46,2,no
ID,24,408,341-9396,no,yes,29,236.3,105,40.17,105,7.2,2,1.94,3,no
CA,112,415,346-5036,no,no,0,208.7,150,35.48,98,8.5,4,2.3,0,no
ID,42,415,363-2193,no,no,0,92.2,108,15.67,73,13.1,6,3.54,1,no
LA,67,510,373-6784,no,no,0,310.4,97,52.77,99,9.2,10,2.48,4,no
WY,90,408,368-3931,no,yes,39,94.8,89,16.12,65,11.4,5,3.08,1,no
ID,47,415,365-4387,no,yes,28,172.9,109,29.39,109,8.3,6,2.24,1,no
DE,129,510,332-6181,no,no,0,334.3,118,56.83,83,10.4,6,2.81,0,yes
AR,87,408,390-4789,no,no,0,185.8,119,31.59,96,6.6,4,1.78,1,no
CA,158,510,379-5503,no,no,0,155.9,123,26.5,116,8.6,8,2.32,2,no
FL,92,415,349-9566,no,no,0,201.9,74,34.32,80,13.7,6,3.7,3,no
IA,113,408,395-5285,no,no,0,193.8,99,32.95,67,10.6,6,2.86,1,no
WY,161,415,406-1349,yes,no,0,189.6,78,32.23,137,1.3,6,0.35,1,no
DE,85,510,420-2796,no,no,0,211.5,100,35.96,131,13.3,4,3.59,2,no
RI,129,415,366-7360,no,yes,33,119.6,104,20.33,175,5.9,2,1.59,2,no
OR,132,510,353-6056,no,no,0,191.9,107,32.62,88,12.6,2,3.4,1,no
WY,87,415,353-3759,no,no,0,151,83,25.67,127,9.7,3,2.62,5,yes
AK,100,415,394-5202,no,yes,29,213.6,127,36.31,100,8.9,3,2.4,1,no
SC,73,415,344-9347,no,no,0,203.3,45,34.56,71,8.5,6,2.3,0,no
MO,64,510,389-1475,no,yes,48,94.4,104,16.05,89,4.5,4,1.22,0,no
UT,164,510,397-3939,no,no,0,192.1,95,32.66,100,7.3,3,1.97,3,no
ME,36,510,335-3110,no,yes,25,152.8,110,25.98,74,9.1,2,2.46,1,no
VA,10,415,352-5697,no,no,0,222.2,127,37.77,80,12.9,4,3.48,1,no
RI,99,510,386-3671,no,no,0,217.2,112,36.92,89,15.8,7,4.27,3,no
CO,119,408,368-6174,no,no,0,124.3,68,21.13,93,14.8,1,4,0,no
MD,136,415,375-1476,no,no,0,250.2,121,42.53,114,13,2,3.51,1,yes
WY,87,415,341-9443,no,yes,22,263.8,65,44.85,109,8.5,3,2.3,3,no
NM,132,408,415-5008,no,no,0,169.9,107,28.88,79,11.5,2,3.11,1,no
GA,189,408,336-3488,no,no,0,227.4,84,38.66,120,6.3,4,1.7,2,no
ME,92,415,376-8573,yes,no,0,130.7,113,22.22,98,9.4,2,2.54,2,yes
RI,115,408,360-3525,no,no,0,147.9,109,25.14,90,9.6,9,2.59,3,no
HI,117,408,416-8827,no,no,0,102.3,100,17.39,93,15.7,10,4.24,3,no
MS,78,408,361-7283,no,no,0,108.6,108,18.46,117,7.9,5,2.13,1,yes
VA,99,415,400-6257,no,yes,42,216,125,36.72,100,9.3,4,2.51,2,yes
IN,113,415,353-6007,no,no,0,209.4,151,35.6,116,7.4,2,2,1,yes
CO,121,408,409-4447,yes,no,0,167.7,94,28.51,115,13.4,1,3.62,3,yes
MO,72,415,385-2564,no,no,0,165.9,114,28.2,120,12,5,3.24,2,no
WY,43,415,329-9847,yes,no,0,251.5,105,42.76,67,9.3,4,2.51,0,no
LA,163,408,371-5875,no,yes,23,224,126,38.08,104,8.8,4,2.38,1,no
AK,78,408,336-5406,no,no,0,225.1,67,38.27,102,14.6,2,3.94,0,no
SD,128,415,353-7461,no,no,0,247.3,91,42.04,112,14.7,2,3.97,3,no
NC,118,408,340-2855,yes,yes,39,153.8,106,26.15,103,9.2,6,2.48,1,no
AL,85,415,368-9007,no,no,0,210.3,66,35.75,82,11.2,7,3.02,1,no
OH,132,415,375-5414,no,yes,10,182.9,54,31.09,116,11.5,4,3.11,0,no
MO,95,415,374-7787,yes,no,0,165.5,84,28.14,89,11.5,2,3.11,1,yes
MS,114,415,389-6790,no,yes,34,154.4,109,26.25,103,10.3,5,2.78,0,no
DE,97,415,390-5267,no,yes,32,183.4,94,31.18,38,6.7,4,1.81,5,no
OK,52,415,397-9928,no,no,0,124.9,131,21.23,106,11.6,4,3.13,2,no
OR,76,415,410-9477,no,no,0,169.5,77,28.82,92,10,3,2.7,0,no
RI,103,510,420-6324,yes,no,0,255.9,128,43.5,130,12.1,2,3.27,1,yes
VT,97,415,328-2236,no,no,0,112.7,119,19.16,76,6.5,5,1.76,1,no
NM,96,415,395-9214,no,yes,33,183.3,115,31.16,84,10.4,15,2.81,3,no
IL,142,415,334-2800,no,yes,38,163.3,104,27.76,127,4.3,6,1.16,0,no
AZ,117,408,417-4404,no,no,0,239.9,84,40.78,93,9.8,2,2.65,0,no
WA,56,408,376-2550,no,no,0,210.4,80,35.77,56,15.5,4,4.19,1,no
CT,212,415,366-6751,no,no,0,126,96,21.42,102,7.6,3,2.05,1,no
DE,113,415,352-4418,no,no,0,239.7,47,40.75,88,8.7,3,2.35,2,yes
RI,46,408,404-9775,no,no,0,40.4,105,6.87,89,9,2,2.43,2,no
MN,116,510,337-3769,no,no,0,201.8,82,34.31,130,16.5,5,4.46,0,no
KY,104,415,330-5255,no,no,0,130.5,77,22.19,63,13,6,3.51,0,no
IL,48,510,380-5246,no,no,0,128.2,71,21.79,80,8.9,3,2.4,0,no
ID,87,415,370-7546,no,no,0,156.8,93,26.66,77,7.6,6,2.05,1,no
VA,11,408,358-6796,no,yes,24,131.5,98,22.36,87,10,3,2.7,2,no
MN,37,415,360-7404,no,yes,20,264.7,81,45,102,10.4,7,2.81,0,no
OH,65,408,336-7600,no,no,0,187.9,116,31.94,86,7.5,6,2.03,1,no
MN,186,415,335-3913,no,yes,26,74.3,107,12.63,90,14.5,3,3.92,2,no
PA,87,408,329-1410,no,yes,30,262.8,114,44.68,88,7.8,2,2.11,0,no
MI,133,408,387-9137,no,no,0,277.3,138,47.14,103,12.8,4,3.46,2,yes
SC,88,510,394-8402,no,no,0,73.3,86,12.46,76,8.2,3,2.21,4,yes
UT,116,415,345-5639,no,yes,44,230.6,94,39.2,76,11.1,2,3,0,no
CO,141,415,340-5121,no,no,0,126.9,98,21.57,128,8,2,2.16,1,no
CT,70,408,339-5329,no,no,0,198.6,111,33.76,105,10.6,6,2.86,2,no
DC,82,510,400-9770,no,no,0,143.9,61,24.46,94,11.1,2,3,1,no
HI,105,510,364-8128,no,no,0,125.4,116,21.32,104,11.4,9,3.08,2,no
NH,93,408,411-1045,no,no,0,179.3,93,30.48,88,12.1,5,3.27,1,no
AL,91,510,378-5633,no,yes,23,232.4,97,39.51,128,12.3,3,3.32,3,no
CA,72,408,337-7377,no,yes,39,92.8,98,15.78,83,5.8,7,1.57,1,no
ND,105,510,345-2108,no,no,0,246.4,83,41.89,151,3.8,4,1.03,0,no
IA,45,415,399-5763,no,no,0,211.3,87,35.92,72,13.3,6,3.59,1,no
MN,100,415,327-8732,no,yes,27,221.7,100,37.69,91,8,4,2.16,0,no
OK,146,510,377-4975,no,no,0,138.4,104,23.53,73,3.9,9,1.05,4,yes
FL,99,408,336-2090,no,no,0,155.3,93,26.4,67,12.4,4,3.35,0,no
MS,120,408,355-6291,no,no,0,212.1,131,36.06,96,5.3,5,1.43,1,yes
DE,67,415,413-7743,yes,yes,35,181.1,59,30.79,106,16.9,4,4.56,0,yes
NC,111,408,338-6550,no,no,0,224.9,117,38.23,97,10.3,3,2.78,0,no
NH,19,408,361-3337,no,no,0,186.1,98,31.64,127,14.6,7,3.94,2,no
MI,45,510,375-8934,no,yes,26,91.7,104,15.59,103,7.7,5,2.08,1,no
NJ,88,415,347-8659,no,no,0,301.5,136,51.26,118,13.4,2,3.62,4,yes
WI,90,408,400-5831,no,no,0,61.3,91,10.42,80,11.4,9,3.08,1,no
FL,142,415,357-4936,no,yes,26,220.5,94,37.49,109,5.9,9,1.59,2,no
HI,166,408,377-9473,no,no,0,181.4,108,30.84,94,11.6,6,3.13,1,no
WV,43,408,417-5320,no,no,0,230.2,147,39.13,100,9.2,3,2.48,0,no
ME,205,510,413-4039,no,yes,24,175.8,139,29.89,64,7.8,5,2.11,2,no
ME,100,510,359-8466,no,yes,30,58.8,104,10,118,7.1,3,1.92,0,no
NY,125,415,367-3950,no,no,0,233.3,65,39.66,109,9.1,4,2.46,1,no
